establecimiento,razon_social,rubro
FREZZI SACIAG,FINCA FREZZI,FRUTICULTURA
"GARROT, CARLOS PEDRO",FINCA SANTA GUALBERTA,FRUTICULTURA
"GONZALEZ RODRIGUEZ, GERMAN",DON BERNABE,FRUTICULTURA
"GONZALEZ, MARIO HERNAN",EX-BERETTA,FRUTICULTURA
"GONZALEZ, MARIO HERNAN",EX-MORENO,FRUTICULTURA
"GONZALEZ, MARIO HERNAN",NUEVA,FRUTICULTURA
"IRIARTE, DANIEL",FINCA LAS ROSAS (IRIARTE),FRUTICULTURA
"LARGUIA, JONAS",FINCA LA NUESTRA,FRUTICULTURA
MAELCA S.A.,LOS RANQUELES,AGRICULTURA
MAELCA SA,LOS CERRILLOS,FRUTICULTURA
MAELCA SA,LOS CERRILLOS,HORTICULTURA
OLIVARES S.A.,OLIVARES S.A.,FRUTICULTURA
OLIVOS ARGENTINOS SA,LA AGUADA,FRUTICULTURA
OLIVOS ARGENTINOS SA,SANTA FE,FRUTICULTURA
ORO NEGRO S.A.,ORO NEGRO,FRUTICULTURA
"SUELDO GIORGI, LAURA",FINCA MACHIA,FRUTICULTURA
TALAMUYUNA S.A.,TALAMUYUNA,AGRICULTURA
"TROYANO, RUFINO",PARCELA Nº8,FRUTICULTURA
AGROLOSANDES S.A.,AGROLOSANDES,FRUTICULTURA
AGROLOSANDES S.A.,AGROLOSANDES,HORTICULTURA
AGROROSAL S.A.,FINCA LA LUCERA,FRUTICULTURA
AGROROSAL S.A.,FINCA LA LUCERA,HORTICULTURA
AGROSAVER S.A.,FINCA LA AGUANDA,FRUTICULTURA
AGROSAVER S.A.,FINCA LA AGUANDA,HORTICULTURA
ALTOS LAS HORMIGAS SAVYC,ALTOS LAS HORMIGAS FINCA,FRUTICULTURA
ARGENTBIO S.R.L.,FINCA EL OLMO,FRUTICULTURA
ARGENTBIO S.R.L.,FINCA EL OLMO,HORTICULTURA
ARTEL INC,EL LUCAS,FRUTICULTURA
ARTEL INC,EL TINCHO,FRUTICULTURA
ASOC. COOP. EEA INTA MENDOZA,ASOCIACION COOPERADORA DE EEA MENDOZA INTA,FRUTICULTURA
ASOC. COOP. EEA INTA MENDOZA,ASOCIACION COOPERADORA DE EEA MENDOZA INTA,HORTICULTURA
AVE MARIA FIDEICOMISO,FINCA AVE MARIA AG,FRUTICULTURA
AVE MARIA FIDEICOMISO,FINCA AVE MARIA B,FRUTICULTURA
BAMENEX S.A.,FINCA EL CARRIZAL,FRUTICULTURA
BAMENEX S.A.,FINCA EL CARRIZAL,HORTICULTURA
BEATRIZ VASQUEZ Y JUAN CARLOS CAMARGO SH,FINCA RINCON DESEADO,FRUTICULTURA
BEATRIZ VASQUEZ Y JUAN CARLOS CAMARGO SH,FINCA RINCON DESEADO,HORTICULTURA
BEAU LIEU S.A.,BEAU LIEU SA,FRUTICULTURA
BENITO Y NORMA PANELLA,FINCA PANELLA Y ANEXO,FRUTICULTURA
BENITO Y NORMA PANELLA,FINCA PANELLA Y ANEXO,HORTICULTURA
BIO AGRICULTORES S.A.,EL VERGEL,FRUTICULTURA
BIO AGRICULTORES S.A.,EL VERGEL,HORTICULTURA
BIO-ARGENTINA S.A.,LA CELESTE,FRUTICULTURA
BLANCO JOSE,UGARTECHE,FRUTICULTURA
"BOCARDO, MARCELO",MARCELO BOCARDO,FRUTICULTURA
BODEGA ARGENTO S.A.,FINCA UGARTECHE,AGRICULTURA
BODEGAS Y VIÑEDOS BENEDETTI SRL,FINCA LA PAZ,FRUTICULTURA
BODEGAS Y VIÑEDOS BENEDETTI SRL,FINCA LA ISLA,FRUTICULTURA
BODEGAS Y VIÑEDOS BENEDETTI SRL,FINCA MONTECASEROS,FRUTICULTURA
BODEGAS Y VIÑEDOS BENEDETTI SRL,FINCA LOS CAMPAMENTOS,FRUTICULTURA
BODEGAS Y VIÑEDOS V.O.B. S.A.,FINCA AURA (EX BODEGAS Y VIÑEDOS V.O.B.S.A.),FRUTICULTURA
BUONO BENITO ARNALDO,BUONO BENITO ARNALDO,FRUTICULTURA
BUONO BENITO ARNALDO,BUONO BENITO ARNALDO,HORTICULTURA
CAMPAL S.A.,FINCA EL CAMPAL,FRUTICULTURA
CAMPAL S.A.,FINCA EL CAMPAL,HORTICULTURA
CAMPOS DE LA COLONIA S.A.,FINCA LAS UVAS,FRUTICULTURA
CAMPOS DE LA COLONIA S.A.,FINCA LAS UVAS,HORTICULTURA
CANTINIAN SA,CANTINIAN,FRUTICULTURA
